,Row,City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
2,2,Rikitea,PF,-23.12,-134.97,79.49,100,76,13.31
4,4,Jamestown,AU,-33.21,138.6,63.74,60,68,9.95
6,6,Hay River,CA,60.82,-115.79,-9.41,76,75,10.29
7,7,Itoman,JP,26.12,127.67,64.8,63,0,4.7
8,8,Saint-Raymond,CA,46.89,-71.84,-14.81,46,8,3.36
9,9,Atuona,PF,-9.8,-139.03,81.11,100,0,19.13
10,10,Ushuaia,AR,-54.81,-68.31,53.82,81,75,32.21
11,11,Langfang,CN,39.51,116.7,37.4,19,0,11.18
12,12,Hilo,US,19.71,-155.08,66.92,93,90,5.82
13,13,Anadyr,RU,64.73,177.51,-2.21,77,40,8.95
15,15,Saskylakh,RU,71.97,114.09,-23.66,35,64,13.42
16,16,New Norfolk,AU,-42.78,147.06,62.6,55,20,11.41
17,17,Tabou,CI,4.42,-7.36,82.64,100,32,9.4
18,18,Sri Aman,MY,1.24,111.46,77,94,88,1.12
19,19,Juwana,ID,-6.71,111.15,78.32,100,48,5.37
20,20,Meulaboh,ID,4.14,96.13,78.95,100,56,4.36
21,21,Mataura,NZ,-46.19,168.86,50.1,91,100,26.17
22,22,Thompson,CA,55.74,-97.86,-41.81,64,5,2.24
23,23,Puerto Ayora,EC,-0.74,-90.35,75.2,94,75,5.82
24,24,Bombay,US,44.94,-74.57,-3.81,63,1,10.29
25,25,Khatanga,RU,71.98,102.47,-9.17,33,8,5.48
26,26,Jitauna,BR,-14.02,-39.89,77.24,86,92,6.15
27,27,Cape Town,ZA,-33.93,18.42,69.8,43,0,21.92
28,28,Hasaki,JP,35.73,140.83,32.36,59,75,3.36
30,30,Leningradskiy,RU,69.38,178.42,-12.81,81,8,16.22
31,31,Brae,GB,60.4,-1.35,39.67,100,24,8.05
32,32,Vaini,IN,15.34,74.49,73.82,48,0,4.92
33,33,Busselton,AU,-33.64,115.35,74.99,82,0,15.66
34,34,Abnub,EG,27.27,31.15,64.4,45,0,5.82
35,35,Arzgir,RU,45.37,44.21,34.62,79,56,9.17
36,36,Sinnamary,GF,5.38,-52.96,80.25,92,92,11.74
37,37,Norman Wells,CA,65.28,-126.83,3.2,65,75,17.22
38,38,Kruisfontein,ZA,-34,24.73,66.71,72,0,17.45
