,Row,City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
1,1,Hamilton,BM,32.3,-64.78,69.8,60,20,4.7
2,2,Olinda,EC,-2.03,-79.75,84.2,70,40,6.93
3,3,Mahebourg,MU,-20.41,57.7,82.4,74,40,3.36
4,4,Hobart,AU,-42.88,147.33,64.4,52,20,12.75
5,5,Half Moon Bay,US,37.46,-122.43,53.73,82,90,5.03
7,7,Punta Arenas,CL,-53.16,-70.91,59,58,75,32.21
8,8,Upernavik,GL,72.79,-56.15,-4.08,100,24,13.98
9,9,Luderitz,NA,-26.65,15.16,72.02,52,0,25.05
10,10,Chapada dos Guimaraes,BR,-15.46,-55.75,82.4,74,75,8.05
11,11,Ushuaia,AR,-54.81,-68.31,55.4,54,40,27.51
12,12,Tahoua,NE,14.89,5.26,93.2,9,0,16.11
13,13,Cape Town,ZA,-33.93,18.42,68,45,0,24.16
14,14,Bluff,AU,-23.58,149.07,73.14,69,0,8.61
15,15,Bambous Virieux,MU,-20.34,57.76,82.4,74,40,3.36
16,16,Dunedin,NZ,-45.87,170.5,52.67,57,0,22.26
17,17,Soyo,AO,-6.13,12.37,87.8,66,20,8.05
18,18,Lorengau,PG,-2.02,147.27,75.8,100,92,15.99
19,19,Pisz,PL,53.63,21.81,28.4,86,75,4.7
20,20,Lavrentiya,RU,65.58,-170.99,5.82,100,80,7.72
21,21,Kaitangata,NZ,-46.28,169.85,51.14,80,68,31.99
22,22,Albany,US,42.65,-73.75,20.53,58,90,11.41
24,24,Namibe,AO,-15.19,12.15,80.6,69,75,14.99
25,25,Vaini,IN,15.34,74.49,73.82,48,0,4.92
26,26,Lebu,ET,8.96,38.73,68.96,28,0,7.16
27,27,Talnakh,RU,69.49,88.39,12.12,78,68,14.88
28,28,Bredasdorp,ZA,-34.53,20.04,68,40,0,14.99
29,29,Meadow Lake,CA,54.13,-108.44,-25.61,74,75,6.93
30,30,Mataura,NZ,-46.19,168.86,50.1,91,100,26.17
31,31,Tuktoyaktuk,CA,69.44,-133.03,-5.81,76,20,11.41
33,33,Codrington,AU,-28.95,153.24,72.81,83,0,5.82
34,34,Parrita,CR,9.52,-84.33,77,53,0,16.11
35,35,Saint-Philippe,CA,45.36,-73.48,-9.01,57,1,6.93
36,36,Marfino,RU,56.07,37.56,23.04,79,75,15.66
37,37,Alofi,NU,-19.06,-169.92,77,94,48,10.29
38,38,Thompson,CA,55.74,-97.86,-40.01,65,5,4.7
40,40,Chuy,UY,-33.69,-53.46,71.52,91,20,18.79
41,41,Bossangoa,CF,6.5,17.45,95.42,21,0,5.82
42,42,Carlsbad,CZ,50.23,12.87,27.97,73,0,4.7
43,43,San Jose,PH,15.79,120.99,71.39,93,56,3.91
44,44,Viamao,BR,-30.08,-51.02,75.2,69,90,12.75
45,45,Barrow,AR,-38.31,-60.23,77.82,55,0,8.05
46,46,Darnah,LY,32.77,22.64,62.7,98,32,13.2
47,47,Rikitea,PF,-23.12,-134.97,79.49,100,76,13.31
48,48,Hermanus,ZA,-34.42,19.24,67.43,54,0,5.93
49,49,Emba,CY,34.81,32.42,57.2,71,75,6.93
50,50,Savannah Bight,HN,16.45,-85.85,80.6,69,40,2.24
51,51,Arraial do Cabo,BR,-22.97,-42.02,94.69,58,0,14.99
52,52,Georgetown,GY,6.8,-58.16,85.15,74,75,13.87
53,53,Ilulissat,GL,69.22,-51.1,8.6,78,75,8.05
54,54,Mogoytuy,RU,51.28,114.93,3.08,61,12,10.18
55,55,Chokurdakh,RU,70.62,147.9,-36.53,0,56,3.36
56,56,Carnarvon,ZA,-30.97,22.13,77.55,7,0,10.51
57,57,Yellowknife,CA,62.45,-114.38,-13.01,75,90,12.75
58,58,Avarua,CK,-21.21,-159.78,78.8,94,75,4.7
59,59,Jamestown,AU,-33.21,138.6,63.74,60,68,9.95
60,60,Nikolskoye,RU,59.7,30.79,21.2,92,75,11.18
61,61,Sao Filipe,CV,14.9,-24.5,73.19,90,0,19.8
62,62,Saskylakh,RU,71.97,114.09,-23.66,35,64,13.42
63,63,Clyde River,CA,70.47,-68.59,-25.61,74,20,4.7
64,64,Port Alfred,ZA,-33.59,26.89,69.23,74,0,21.47
65,65,Khatanga,RU,71.98,102.47,-9.17,33,8,5.48
66,66,Bastia,IT,44.6,8.98,39.49,100,75,6.93
67,67,Aden,YE,12.79,45.03,76.2,100,12,7.83
68,68,Souillac,FR,45.6,-0.6,47.97,87,68,6.93
69,69,Rio Grande,BR,-32.03,-52.1,69.8,83,90,14.99
70,70,Busselton,AU,-33.64,115.35,74.99,82,0,15.66
72,72,Dzhubga,RU,44.32,38.7,41.69,80,76,7.38
73,73,Havre-Saint-Pierre,CA,50.23,-63.6,-4.01,48,20,14.99
74,74,Fortuna,ES,38.18,-1.13,60.21,36,0,8.05
76,76,Arkhangelskoye,RU,54.46,37.62,23.37,86,76,14.43
77,77,Broome,GB,52.47,1.45,38.73,75,0,8.05
78,78,Erzin,TR,36.95,36.2,43.7,70,0,5.82
79,79,New Norfolk,AU,-42.78,147.06,64.4,52,20,12.75
80,80,Abalak,NE,15.46,6.28,93.71,15,0,14.99
81,81,Saldanha,PT,41.42,-6.55,41.06,100,92,7.61
82,82,Qaanaaq,GL,77.48,-69.36,-22.71,64,0,12.19
83,83,Urengoy,RU,65.96,78.37,5.55,82,48,15.99
84,84,Vila Velha,BR,-3.71,-38.6,77,100,75,4.7
85,85,Havelock,US,34.88,-76.9,55.83,64,1,11.41
86,86,Bontang,ID,0.12,117.47,82.77,95,0,12.97
87,87,Srednekolymsk,RU,67.46,153.71,-34.37,0,8,2.13
88,88,Christchurch,NZ,-43.53,172.64,59,44,0,8.05
89,89,Bahia Blanca,AR,-38.72,-62.27,81.47,47,0,10.18
90,90,Vanavara,RU,60.35,102.28,13.34,85,92,8.16
92,92,Ponta do Sol,BR,-20.63,-46,85.16,70,0,8.61
93,93,Victoria,BN,5.28,115.24,81.59,88,75,6.93
94,94,Vestmannaeyjar,IS,63.44,-20.27,33.8,100,75,4.7
95,95,San Patricio,PY,-26.98,-56.83,71.57,84,56,6.6
96,96,Touros,BR,-5.2,-35.46,89.6,59,40,19.46
97,97,Dubbo,AU,-32.25,148.6,75.2,69,44,14.99
99,99,Albolote,ES,37.23,-3.66,51.8,62,75,2.8
100,100,Lasa,CY,34.92,32.53,57.2,71,75,6.93
101,101,Maryborough,AU,-25.54,152.7,69.77,79,0,2.46
102,102,Kapaa,US,22.08,-159.32,67.62,70,75,14.99
103,103,Puerto Ayora,EC,-0.74,-90.35,80.6,83,75,13.87
104,104,Atuona,PF,-9.8,-139.03,81.11,100,0,19.13
105,105,Mbini,GQ,1.58,9.62,86,79,20,10.29
106,106,Bathsheba,BB,13.22,-59.52,84.2,58,40,16.11
107,107,Socorro,PH,13.06,121.41,71.66,100,88,4.59
108,108,Castro,CL,-42.48,-73.76,69.8,64,0,8.05
109,109,Sosnogorsk,RU,63.59,53.93,15.9,82,88,4.7
110,110,Kavieng,PG,-2.57,150.8,78.27,100,92,18.79
111,111,Butaritari,KI,3.07,172.79,84.26,100,88,9.17
112,112,Grand-Santi,GF,4.27,-54.38,83.18,71,24,3.13
113,113,Salinas,US,36.67,-121.66,49.19,82,1,9.17
114,114,Norman Wells,CA,65.28,-126.83,3.2,65,75,18.34
115,115,Iqaluit,CA,63.75,-68.52,-20.21,68,75,19.46
116,116,Abnub,EG,27.27,31.15,62.6,48,0,5.82
117,117,Provost,CA,52.35,-110.26,-0.89,73,80,13.65
118,118,Qandala,SO,11.47,49.87,69.32,86,0,3.69
119,119,Laramie,US,41.31,-105.59,26.22,46,1,10.29
120,120,Tilichiki,RU,60.47,166.1,16.17,87,76,8.28
121,121,Port-Gentil,GA,-0.72,8.78,86,74,40,12.75
123,123,Port Augusta,AU,-32.49,137.76,69.8,73,40,14.99
124,124,Petersburg,US,37.23,-77.4,43.52,77,90,5.82
125,125,Paraiso,MX,24.01,-104.61,48.2,57,75,5.14
126,126,Burley,US,42.54,-113.79,33.49,88,90,11.41
127,127,Gorokhovets,RU,56.21,42.68,23,73,40,8.95
128,128,Hare Bay,CA,48.86,-53.99,30.2,86,90,17.22
130,130,Meulaboh,ID,4.14,96.13,78.95,100,56,4.36
131,131,Faya,SA,18.39,42.45,58.12,76,20,8.05
132,132,Chincha Alta,PE,-13.42,-76.13,71.6,30,0,9.17
133,133,Darovskoy,RU,58.77,47.96,14.33,72,44,8.05
134,134,Hilo,US,19.71,-155.08,66.02,89,75,6.93
135,135,Turukhansk,RU,65.8,87.96,15.14,85,68,16.33
136,136,Belmonte,PT,40.36,-7.35,42.45,99,92,4.81
137,137,Karema,TZ,-6.82,30.44,74.99,82,48,2.91
138,138,Dikson,RU,73.51,80.55,10.05,100,56,4.92
139,139,Sinegorye,RU,62.09,150.53,-39.81,0,44,1.9
141,141,Bendorf,DE,50.42,7.57,30.18,79,0,9.17
142,142,Port Elizabeth,US,39.31,-74.98,35.96,63,90,5.82
143,143,Los Llanos de Aridane,ES,28.66,-17.92,66.2,63,75,12.75
144,144,Jiaohe,CN,43.72,127.34,-3.77,62,12,4.14
145,145,Kahului,US,20.89,-156.47,68.29,90,40,14.99
146,146,Khani,GE,41.96,42.96,37.4,74,40,4.7
147,147,Curaca,BR,-8.99,-39.91,91.95,43,0,6.93
148,148,Tautira,PF,-17.73,-149.15,78.8,78,20,4.7
149,149,Ugoofaaru,MV,5.67,73,80.66,100,0,7.27
150,150,Severo-Kurilsk,RU,50.68,156.12,28.05,100,88,7.94
151,151,Rome,IT,41.89,12.48,47.16,71,40,3.36
152,152,Pimenta Bueno,BR,-11.68,-61.19,83.63,84,36,3.02
154,154,Ostrovnoy,RU,68.05,39.51,-7.23,74,8,4.14
155,155,Sarangani,PH,5.4,125.46,80.39,99,100,4.92
156,156,Bijie,CN,27.3,105.3,37.77,93,92,2.91
157,157,Okhotsk,RU,59.36,143.24,-17.36,100,0,10.18
158,158,Shimoda,JP,34.7,138.93,53.39,100,0,20.8
159,159,Kodiak,US,39.95,-94.76,14,87,90,19.46
161,161,Leh,IN,34.16,77.58,-7.91,66,56,1.57
162,162,Roald,NO,62.58,6.12,30.2,92,40,4.7
163,163,Viedma,AR,-40.81,-62.99,87.23,24,0,17.45
164,164,Coquimbo,CL,-29.95,-71.34,64.4,72,75,9.17
165,165,Abonnema,NG,4.71,6.79,96.8,44,75,5.82
166,166,Bay Roberts,CA,47.58,-53.28,32.61,80,75,6.93
167,167,Puerto Penasco,MX,31.32,-113.53,56.94,100,0,16.78
169,169,Fairbanks,US,64.84,-147.72,0.39,84,90,2.68
170,170,Ndungu,TZ,-4.38,38.06,77.06,72,44,1.68
171,171,La Cruz,MX,23.92,-106.89,62.34,64,0,3.24
172,172,Usinsk,RU,66,57.56,-2.28,71,24,2.46
173,173,Bundaberg,AU,-24.87,152.35,69.8,88,40,1.12
174,174,Saint George,GR,39.45,22.34,50.11,76,40,6.93
175,175,Yen Bai,VN,21.7,104.87,58.61,100,80,2.13
176,176,Sorong,ID,-0.86,131.25,82.28,100,80,7.61
177,177,Zabid,YE,14.2,44.5,63.24,32,8,3.69
178,178,Kloulklubed,PW,7.04,134.26,78.8,94,75,8.05
179,179,Kamloops,CA,50.68,-120.34,44.6,56,20,11.41
180,180,The Valley,AI,18.22,-63.06,80.6,57,40,14.99
182,182,Tiksi,RU,71.64,128.87,-47.06,0,8,3.24
183,183,Yaan,NG,7.38,8.57,98.03,30,0,4.59
185,185,Port Blair,IN,11.67,92.75,80.93,100,48,18.01
186,186,Grimshaw,CA,56.19,-117.61,8.6,71,90,13.87
187,187,Vanimo,PG,-2.67,141.3,83.36,100,92,5.93
188,188,Plouzane,FR,48.38,-4.62,47.44,81,92,4.7
189,189,Alice Springs,AU,-23.7,133.88,91.4,27,48,10.29
190,190,Hornepayne,CA,49.22,-84.78,-26.85,41,0,2.68
192,192,Batemans Bay,AU,-35.71,150.18,65.49,94,44,1.12
193,193,Bend,US,44.06,-121.32,43.81,81,1,10.29
194,194,Klaksvik,FO,62.23,-6.59,39.2,80,8,10.29
195,195,Mayo,CA,63.59,-135.9,-4.01,76,90,2.57
196,196,Biggar,GB,55.62,-3.52,38.01,86,75,3.36
197,197,Tasiilaq,GL,65.61,-37.64,23,85,0,26.4
198,198,East London,ZA,-33.02,27.91,68,56,0,24.16
199,199,Myanaung,MM,18.28,95.32,70.17,79,0,4.7
200,200,Nanortalik,GL,60.14,-45.24,26.52,92,76,31.43
201,201,Sola,FI,62.78,29.36,-4.01,76,20,2.24
202,202,Antofagasta,CL,-23.65,-70.4,69.8,60,0,17.22
203,203,Atar,MR,20.52,-13.05,75.2,15,0,18.34
204,204,La Palma,CO,5.36,-74.39,77.6,66,0,2.35
205,205,Esperance,TT,10.24,-61.45,86,51,75,16.11
206,206,Mar del Plata,AR,-46.43,-67.52,83.18,30,0,19.01
207,207,Buin,CL,-33.73,-70.74,80.6,39,0,5.82
208,208,Solnechnyy,RU,50.72,136.64,-13.4,41,56,2.57
210,210,Matagami,NG,9.67,8.4,89.12,21,8,5.7
211,211,Smithers,CA,54.78,-127.17,23,92,90,3.36
212,212,Tokur,RU,53.13,132.9,-18.35,49,56,2.35
213,213,Kultuk,RU,51.73,103.71,5.15,54,56,5.37
214,214,Biskamzha,RU,53.45,89.53,-0.17,50,36,2.01
217,217,Praesto,DK,55.12,12.06,33.8,100,20,8.05
218,218,Morondava,MG,-20.3,44.28,88.13,75,12,7.27
219,219,Bowen,AU,-20.01,148.25,80.12,99,56,15.99
221,221,Qostanay,KZ,53.17,63.58,-4.01,76,0,2.24
222,222,Ormara,PK,25.21,64.64,70.04,97,12,6.15
223,223,Pevek,RU,69.7,170.27,-18.53,100,44,8.95
224,224,Cabo San Lucas,MX,22.89,-109.91,68,40,20,9.17
225,225,Provideniya,RU,64.42,-173.23,18.65,100,64,6.38
226,226,Beloha,MG,-25.17,45.06,87.72,52,80,9.17
228,228,Beringovskiy,RU,63.05,179.32,2.27,100,92,7.05
229,229,Egvekinot,RU,66.32,-179.17,-27.3,41,0,2.35
230,230,Port Macquarie,AU,-31.43,152.91,74.97,88,90,11.41
232,232,Moura,PT,38.14,-7.45,57.2,93,75,12.75
233,233,Palu,ID,-0.9,119.87,68.42,97,76,0.89
234,234,Hobyo,SO,5.35,48.53,78.09,76,20,16.44
235,235,Mattru,SL,7.62,-11.83,88.44,56,12,3.69
236,236,Jinxiang,CN,35.07,116.31,30.39,78,0,8.72
237,237,Kamina,CD,-8.74,25,73.91,92,64,6.38
238,238,Orlik,RU,52.51,99.83,-17.58,41,12,2.8
241,241,Ribeira Grande,PT,38.52,-28.7,64.4,82,40,4.7
242,242,Fukue,JP,35.03,136.69,38.62,70,75,2.24
243,243,Waddan,LY,29.16,16.14,67.29,35,92,19.8
244,244,Hasaki,JP,35.73,140.83,33.6,59,75,5.82
245,245,Labuhan,ID,-2.54,115.51,75.35,95,92,1.9
246,246,Huejuquilla el Alto,MX,22.63,-103.9,45.6,73,0,2.68
248,248,Ovsyanka,RU,53.58,126.91,-15.02,44,44,2.68
249,249,Iquique,CL,-20.22,-70.14,73.4,56,0,18.34
250,250,Sao Jose da Coroa Grande,BR,-8.9,-35.15,83.04,87,44,7.61
251,251,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,74,75,6.71
252,252,Dukat,RS,42.44,22.31,36.2,91,36,0.89
253,253,Vardo,US,39.62,-77.74,35.89,69,90,9.17
254,254,Zaykovo,RU,57.56,62.76,15.27,85,24,9.95
255,255,Biak,ID,-0.91,122.88,77.69,100,20,2.91
256,256,Grand Gaube,MU,-20.01,57.66,82.4,74,40,3.36
257,257,Bilibino,RU,68.06,166.44,-40.85,0,0,1.9
258,258,Bosaso,SO,11.28,49.18,74.45,100,0,9.51
259,259,Chipata,ZM,-13.64,32.65,80.97,50,92,10.51
261,261,Nuuk,GL,64.17,-51.74,28.4,79,75,5.82
262,262,Manama,AE,25.33,56.02,67.1,59,40,5.82
263,263,Quartucciu,IT,39.25,9.18,52.48,66,40,6.93
264,264,Riohacha,CO,11.54,-72.91,89.6,52,40,16.11
265,265,Lompoc,US,34.64,-120.46,47.75,86,1,3.36
266,266,Lensk,RU,60.71,114.91,10.28,71,76,8.16
267,267,Kasama,ZM,-10.21,31.19,74.63,79,92,5.37
268,268,Amursk,RU,50.23,136.9,-10.7,71,56,2.13
269,269,Nam Som,TH,17.77,102.19,71.6,83,75,4.7
271,271,Gizo,IL,31.8,34.94,57.2,47,0,4.7
272,272,Baruun-Urt,MN,46.68,113.28,-6.06,52,0,9.62
274,274,Arcata,US,40.87,-124.08,57.27,100,90,11.41
275,275,Puqi,CN,29.72,113.88,43.44,100,56,6.93
276,276,Kavaratti,IN,10.57,72.64,81.87,100,0,4.36
277,277,San Juan del Parana,PY,-27.3,-55.97,71.62,83,75,6.93
278,278,Seymchan,RU,62.93,152.39,-44.54,0,36,2.57
279,279,Sao Joao da Barra,BR,-21.64,-41.05,91.4,46,20,18.34
